theme,title,to,from,description
입시,공군학군사관(ROTC) 지원서 접수,2021-03-29 09:00:00,2021-05-07 12:00:00,공군학군사관(ROTC) 지원서 접수
입시,공군학군사관(ROTC) 필기고사,2021-05-29 13:30:00,2021-05-29 17:00:00,공군학군사관(ROTC) 필기고사
입시,공군학군사관(ROTC) 학교 성적 산출,2021-05-03 09:00:00,2021-05-28 12:00:00,공군학군사관(ROTC) 학교 성적 산출
입시,공군학군사관(ROTC) 필기고사 합격자 발표,2021-07-02 15:00:00,2021-07-02 15:00:00,공군학군사관(ROTC) 필기고사 합격자 발표
입시,공군학군사관(ROTC) 신원조사,2021-07-05 09:00:00,2021-07-30 12:00:00,공군학군사관(ROTC) 신원조사
입시,공군학군사관(ROTC) 신체검사 및 인성검사,2021-08-09 09:00:00,2021-08-20 12:00:00,공군학군사관(ROTC) 신체검사 및 인성검사
입시,공군학군사관(ROTC) 체력검정 및 면접,2021-09-06 09:00:00,2021-09-17 12:00:00,공군학군사관(ROTC) 체력검정 및 면접
입시,공군학군사관(ROTC) 최종합격자 발표,2021-10-22 15:00:00,2021-08-06 12:00:00,공군학군사관(ROTC) 최종합격자 발표\, 각 학교 홈페이지
