theme,title,to,from,description
입시,해군학군사관(ROTC) 지원서 접수,2021-03-02 09:00:00,2021-04-30 12:00:00,해군학군사관(ROTC) 지원서 접수
입시,해군학군사관(ROTC) 필기고사,2021-05-11 09:00:00,2021-05-11 12:00:00,해군학군사관(ROTC) 필기고사
입시,해군학군사관(ROTC) 1차 합격 발표,2021-05-27 14:00:00,2021-05-27 12:00:00,해군학군사관(ROTC) 1차 합격 발표\, 각 대학교 학군단 공지
입시,해군학군사관(ROTC) AI 온라인 면접,2021-05-31 09:00:00,2021-06-04 17:00:00,해군학군사관(ROTC) AI 온라인 면접
입시,해군학군사관(ROTC) 2차 전형,2021-06-21 09:00:00,2021-07-02 12:00:00,면접\, 체력검정\, 신체검사
입시,해군학군사관(ROTC) 2차 합격자 발표,2021-07-16 09:00:00,2021-07-16 12:00:00,해군학군사관(ROTC) 2차 합격자 발표\, 각 대학교 학군단 공지
입시,해군학군사관(ROTC) 인성검사,2021-06-21 09:00:00,2021-07-02 12:00:00,해군학군사관(ROTC) 인성검사
입시,해군학군사관(ROTC) 신원조회,2021-05-31 09:00:00,2021-08-06 12:00:00,해군학군사관(ROTC) 신원조회
입시,해군학군사관(ROTC) 최종합격 발표,2021-08-06 09:00:00,2021-08-06 12:00:00,해군학군사관(ROTC) 최종합격 발표\, 각 대학교 학군단 공지
